Conventions,G,BADC-CSV,1
activity,G,IPCC AR6,
comments,G,The header of this file was edited by Sara Blichner (s.m.blichner@geo.uio.no),
last_revised_date,G,2021-06-29,
location,G,global,
reference,G,https://github.com/sarambl/AR6_CH6_RCMIPFIGS/,
source,G,IPCC AR6 output,
creator,G,Sara Marie Blichner (s.m.blichner@geo.uio.no),
title,G,"Data for Figure 6.24, percentile 95th-50th warming in year 2100  relative to year 2020",
comments,G,This data is based on the AR6 forcing time series.,
comments,G,Please see https://github.com/sarambl/AR6_CH6_RCMIPFIGS for methods,
metdb_short_name,scenario,scenario,degrees C
long_name,scenario,scenario,degrees C
type,scenario,float,
metdb_short_name,scenario_total,scenario_total,degrees C
long_name,scenario_total,scenario_total,degrees C
type,scenario_total,float,
metdb_short_name,Sum SLCFs,Sum SLCFs,degrees C
long_name,Sum SLCFs,Sum SLCFs,degrees C
type,Sum SLCFs,float,
data,,,
scenario,scenario_total,Sum SLCFs,
SSP1-1.9,0.41501573258954005,0.306740955910251,
SSP1-2.6,0.5244544004145559,0.304917738741807,
SSP2-4.5,0.8598555015836697,0.31446124837434797,
SSP3-3.4,0.522815716712004,0.187273145451919,
SSP3-7.0,1.0638052687882098,0.20264946875455397,
SSP3-7.0-LowSLCF-HighCH$_4$,1.27228405309834,0.4000554852280649,
SSP3-7.0-LowSLCF-LowCH$_4$,1.0633894829518802,0.24448890997371003,
SSP5-8.5,1.5460547035437804,0.3769034903740589,
end_data,,,
