,,SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-3.4,SSP3-7.0,SSP3-7.0-LowSLCF-HighCH$_4$,SSP3-7.0-LowSLCF-LowCH$_4$,SSP5-8.5,stats,variable
2040,Scenario total,0.420935327826669,0.502186544055933,0.5622087179408528,0.4818259490059196,0.6149100613053489,0.6966138452354096,0.5415592849770408,0.7812811734549168,mean,total anthropogenic
2100,Scenario total,0.196751840823981,0.5766622037997109,1.6451678496930255,0.862184720581308,2.843731612347189,3.0466612549498127,2.4034912116407723,3.718986983614384,mean,total anthropogenic
2040,Aerosols,0.2545102039749292,0.21074298203867742,0.050570759248042774,0.034455890871271766,-0.047186850300617866,0.07481574362379695,0.07481574362379695,0.1286705957680041,mean,slcf
2040,Methane (CH$_4$),-0.020352966873393885,-0.010873257755030563,0.04222893240277514,0.04875584899111851,0.07068473009962611,0.07068473009962611,-0.020829169928381686,0.05700655723653458,mean,slcf
2040,Ozone (O$_3$),-0.07059218769590908,-0.05102679765625043,0.015452950196509663,-0.014381349023921075,0.06483465706865404,0.024496663182758338,-0.031653507418056726,0.03651821749457024,mean,slcf
2040,HFCs,0.0074609770991143215,0.017515392864393957,0.02653626118364327,0.0074609770991143215,0.024436017460870502,0.024436017460870502,0.024486718354844946,0.037494541551495605,mean,slcf
2100,Aerosols,0.39076812384747545,0.3981946661701703,0.2587946342749744,0.2649481743101407,-0.032590073021183996,0.25230296277019504,0.25230296277019504,0.22034809947645928,mean,slcf
2100,Methane (CH$_4$),-0.13640400810610187,-0.12949863776784337,0.008605923947457683,0.004981186976882879,0.25361478461266174,0.25361478461266174,-0.10100181248965034,0.1422975398527091,mean,slcf
2100,Ozone (O$_3$),-0.13024197228192141,-0.12886312589595228,-0.03545457933400023,-0.05908507030123794,0.21727090745536193,0.14478681738317473,-0.08240588599078702,0.055320909852414446,mean,slcf
2100,HFCs,-0.0009361357184427647,0.0012444385903478492,0.05375574924825949,-0.0009361357184427647,0.08793570911234093,0.08793570911234093,0.07645128269955766,0.20014478832369273,mean,slcf
2040,Scenario total,0.182997102487151,0.185354754022086,0.15336047029619598,0.142286002199476,0.153790858960749,0.18477495963880303,0.163583561882707,0.20925263217698398,p05-50,total anthropogenic
2100,Scenario total,0.247730074255273,0.302937911486993,0.5124514911934601,0.30554868194072504,0.7405764809840099,0.8372209400906301,0.71794919588574,1.03518617704197,p05-50,total anthropogenic
2040,Scenario total,0.29093762735712997,0.298928364090726,0.22013129616709703,0.19460117556396506,0.20459683798463402,0.255329432916526,0.231783381562431,0.31680131745436313,p95-50,total anthropogenic
2100,Scenario total,0.41501573258954005,0.5244544004145559,0.8598555015836697,0.522815716712004,1.0638052687882098,1.27228405309834,1.0633894829518802,1.5460547035437804,p95-50,total anthropogenic
2040,Sum SLCFs,0.126748211165933,0.11497215843968199,0.046369121443156,0.04056531915103499,0.07946944725337901,0.06308244299515199,0.045961732400142,0.093266660687991,p05-50,total slcf
2100,Sum SLCFs,0.191259441586553,0.189288431599659,0.181712422307959,0.13362069516166902,0.149032345869066,0.25127301754374404,0.154965696458089,0.23027800477749005,p05-50,total slcf
2040,Sum SLCFs,0.19152207359470497,0.17771912360051398,0.066858633022967,0.05712832228758,0.071801073592703,0.088722258258492,0.062196240870871,0.15103630870643397,p95-50,total slcf
2100,Sum SLCFs,0.306740955910251,0.304917738741807,0.31446124837434797,0.187273145451919,0.20264946875455397,0.4000554852280649,0.24448890997371003,0.3769034903740589,p95-50,total slcf
