Conventions,G,BADC-CSV,1
activity,G,IPCC AR6,
comments,G,The header of this file was edited by Sara Blichner (s.m.blichner@geo.uio.no),
last_revised_date,G,2021-06-29,
location,G,global,
reference,G,https://github.com/sarambl/AR6_CH6_RCMIPFIGS/,
source,G,IPCC AR6 output,
creator,G,Sara Marie Blichner (s.m.blichner@geo.uio.no),
title,G,"Data for Figure 6.24, percentile 5th-50th warming in year 2100  relative to year 2020",
comments,G,This data is based on the AR6 forcing time series.,
comments,G,Please see https://github.com/sarambl/AR6_CH6_RCMIPFIGS for methods,
metdb_short_name,scenario,scenario,degrees C
long_name,scenario,scenario,degrees C
type,scenario,float,
metdb_short_name,scenario_total,scenario_total,degrees C
long_name,scenario_total,scenario_total,degrees C
type,scenario_total,float,
metdb_short_name,Sum SLCFs,Sum SLCFs,degrees C
long_name,Sum SLCFs,Sum SLCFs,degrees C
type,Sum SLCFs,float,
data,,,
scenario,scenario_total,Sum SLCFs,
SSP1-1.9,0.247730074255273,0.191259441586553,
SSP1-2.6,0.302937911486993,0.189288431599659,
SSP2-4.5,0.5124514911934601,0.181712422307959,
SSP3-3.4,0.30554868194072504,0.13362069516166902,
SSP3-7.0,0.7405764809840099,0.149032345869066,
SSP3-7.0-LowSLCF-HighCH$_4$,0.8372209400906301,0.25127301754374404,
SSP3-7.0-LowSLCF-LowCH$_4$,0.71794919588574,0.154965696458089,
SSP5-8.5,1.03518617704197,0.23027800477749005,
end_data,,,
